"Name","Phone","Email","Website","Rating","ReviewCount","Address"
"Futura Building Systems","(214) 239-0799","","https://futurabuildingsystems.com/","4.8","26","11857 Judd Ct #214, Dallas, TX 75243"
"Spartan Roofing and Construction","(214) 308-1131","contact@spartanroofs.com","http://www.spartanroofs.com/","4.8","51","2626 Cole Ave suit 300, Dallas, TX 75204"
"Autograph Construction","(214) 210-0202","info@autographconstruction.com","https://autographconstruction.com/","4.8","145","Dallas, TX 75372"
"CPR Roofing & General Contractors","(214) 900-4964","","https://www.cprroofinggc.com/","5","94","100 N Central Expy Suite 502, Richardson, TX 75080"
"Texas Premier Roofing","(888) 858-9010","","https://www.txpremierroofing.com/","5","145","6500 Greenville Ave Ste 680, Dallas, TX 75206"
"Skyline Property Services","(817) 203-4448","","http://www.skylineisthebest.com/","4.9","29","8330 Lyndon B Johnson Fwy STE 737, Dallas, TX 75243"
"Vertex Roofers and General Contractors","(214) 206-5123","","https://vertexroofers.com/","4.8","71","2550 Pacific Ave Suite 844, Dallas, TX 75226"
"T Rock Roofing & Contracting","(469) 931-9867","","https://www.dallasroofer.com/","4.9","750","9330 Lyndon B Johnson Fwy #900, Dallas, TX 75243"
"Network Roofing & Construction","(972) 299-3070","anthony@networkroofingconstruction.com","https://networkroofingconstruction.com/","5","164","12222 Merit Dr Suite 130, Dallas, TX 75251"
"Bridgewood Roofing","(800) 454-9324","","http://bridgewoodroofing.com/","4.9","70","3232 McKinney Ave Suite 500, Dallas, TX 75204"
"R&B Roofing","(888) 260-3947","","http://www.rbroof.com/","4.2","16","2601 Wood Dr, Garland, TX 75041"
"MFB Roofing LLC","(972) 741-2507","","https://mfbroofing.com/","5","23","3047 E Meadows Blvd suite a, Mesquite, TX 75150"
"Top Sun Roofing & Foundations","(844) 486-7786","","http://www.topsunroofing.com/","4.9","72","10935 Estate Ln S305, Dallas, TX 75238"
"Dallas Roofing Contractors.","(214) 304-7243","","http://roof-contractor.org/Dallas-TX.html","5","2","1350 N Buckner Blvd, Dallas, TX 75218"
"Priority Roofing","(469) 615-8193","","https://priorityroofs.com/location/dallas/","5","958","1420 W Mockingbird Ln Suite 540, Dallas, TX 75247"
"Accent Roofing & Construction","(214) 295-5500","","https://accentroofing.com/contact/","5","17","4516 Lovers Ln #146, Dallas, TX 75225"
"Dallas Roofing Construction","(214) 705-2725","","","5","3","11836 Judd Ct #324, Dallas, TX 75243"
"Contractors Plus Roofing & Construction","(469) 809-8499","","","5","4","10935 Estate Ln suite s477, Dallas, TX 75238"
"AM Roofing Company","(214) 980-4366","info@amroofingcompany.com","https://amroofingcompany.com/?utm_source=Google_Maps&utm_medium=Website_Link-Click&utm_campaign=Google_Maps_Visits","4.9","39","5641 SMU Boulevard #106, Dallas, TX 75206"
"Alpine Roofing Construction","(214) 528-9897","","https://alpineroofingconstruction.com/?utm_source=google-business&utm_medium=organic","4.8","69","13528 Floyd Cir, Dallas, TX 75243"
"180 Roofing & Contracting, LLC","(214) 814-4004","info@180roofing.com","http://180roofing.com/","4.7","46","3939 US-80 390 D2, Mesquite, TX 75150"
"R2 Roof Guys","(214) 405-4396","r2roofguys@gmail.com","https://www.r2roofguys.com/","5","62","675 Town Square Blvd Unit 255, Garland, TX 75040"
"Metroplex Roofing and Remodeling-MRR","(214) 994-3408","","","4.9","47","5445 Caruth Haven Ln #1321, Dallas, TX 75225"
"Pappas Roofing and Construction","(945) 300-4948","example@domain.com","https://www.pappasroofingandconstruction.com/","4.9","230","801 K Ave # 16, Plano, TX 75074"
"Texas Vets Roofing","(972) 288-7663","","http://www.texasvetsroofing.com/","4.9","496","818 Dalworth Dr A, Mesquite, TX 75149"
"AG Roofing and Repairs","(903) 337-8827","","","5","4","1819 Kirkwood Dr, Garland, TX 75041"
"Kingsley Roofing Supply","(972) 278-9370","","","3.4","34","3421 W Kingsley Rd #101, Garland, TX 75041"
"E&D Premier Roofing","(469) 309-6581","","https://edpremierroofing.com/","5","1","2822 Maple Dr, Garland, TX 75042"
"MAZE Roofing & Construction","(214) 225-7005","","https://www.mazerc.com/?utm_campaign=gmb","4.8","9","4417 Belmont Ave, Dallas, TX 75204"
"No Limit Roofing LLC","(972) 357-7539","","","5","18","3939 US-80 Suite 390-D5, Mesquite, TX 75150"
"TrueSafe Renovations","(972) 330-3906","","http://www.truesaferenovations.com/","5","52","10925 Estate Ln Suite 214, Dallas, TX 75238"
"Rapid Roof Repair","(469) 708-0736","support@oxygenbuilder.com","https://www.aroofingcompany.net/","5","23",""
"Trustar Roofing & Construction","(214) 730-5466","","","4.9","18","8330 Lyndon B Johnson Fwy b656, Dallas, TX 75243"
"Absolute Construction","(972) 596-0159","","https://www.absoluteroofingcompany.net/?utm_source=Google&utm_medium=Local&utm_campaign=GMB-Dallas","4.9","706","605 18th St, Plano, TX 75074"
"Platinum Contracting LLC | Texas's Best Commercial/Residential Roofing Contractor","(855) 675-7663","","https://platinumcontract.com/","4.9","222","2301 Executive Dr A, Garland, TX 75041"
"PERTEX Roofing & Construction","(214) 734-6270","","https://pertexroofing.com/?utm_source=omg-gbp&utm_medium=webclick","4.7","31","12225 Greenville Ave Suite #732, Dallas, TX 75243"
"Inspiration Roofing & Construction LLC","(214) 799-4793","kenneth@inspirationroofing.com","https://www.inspirationroofing.com/","5","129","3960 Broadway Blvd STE 232, Garland, TX 75043"
"Hass Roofing Since 1978 Corporation","(214) 885-8707","","https://hassroofing78.com/","4.9","46","675 Town Square Blvd BLDG 1A STE 200, Garland, TX 75040"
"Pioneer Roofing","(469) 909-1423","help@mypioneerroofing.com","http://www.mypioneerroofing.com/","4.9","117","4740 14th St Suite 2A, Plano, TX 75074"
"All Star Roofing Of Garland","(214) 681-8863","","","5","205","2102 Harvest Run, Garland, TX 75040"
"Tucker Roofing","(972) 771-6488","tucker@tuckerroofingsystems.com","https://tuckerroofingsystems.com/","5","15","8525 Ferndale Rd #104, Dallas, TX 75238"
"Roof Experts","(469) 936-7663","","https://roofexperts.com/roofing-garland-tx/","4.9","84","601 N First St, Garland, TX 75040"
"Results Roofing","(469) 270-8037","","https://resultsroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=carrollton","4.9","1696","2828 E Trinity Mls Rd Ste 212, Carrollton, TX 75006"
"Mesquite Roofing & Construction","(972) 681-3183","","https://mesquiteroofingandconstruction.com/?utm_source=omg-gbp&utm_medium=webclick","4.9","99","701 TX-352, Mesquite, TX 75149"
"Bert Roofing Inc.","(214) 239-2699","","https://bertroofing.com/?utm_campaign=gmb","4.8","130","10021 Cayuga Dr, Dallas, TX 75228"
"Baker Roofing & Construction","(855) 766-3777","","https://baker-roofing.com/","4.9","61","6507 Trammel Dr, Dallas, TX 75214"
"D & K Contracting","(469) 964-3653","","https://dkcontracting.pro/","5","38","10029 Cayuga Dr, Dallas, TX 75228"
"Meyer's Pride Roofing LLC","(469) 933-1291","brien@meyerspride.com","https://meyerspride.com/?UTM_source=GMB_listing&UTM_medium=organic","5","61","6119 Greenville Ave #217, Dallas, TX 75206"
"We Roof Dallas, Inc","(972) 600-8259","","https://weroofdallas.com/","5","204","1112 N Riverfront Blvd, Dallas, TX 75207"
"Stamper Roofing & Construction","(214) 643-6309","","http://www.stamperroofing.com/","5","90","14200 Midway Rd #107b, Dallas, TX 75244"
"Rushing Roofing & Contracting LLC","(469) 925-7076","","http://rushingroofingllc.com/","5","140","2100 N Greenville Ave Suite 507, Richardson, TX 75080"
"Dobson Contractors, Inc","(972) 992-5019","dobsoncontractors2@verizon.net","https://www.dobsoncontractors.com/?utm_source=google&utm_medium=gmb&utm_campaign=local","5","4","521 W Walnut Cir, Garland, TX 75040"
"Firefighter Roofing","(972) 587-0514","","https://firefighterroofing.com/locations/dallas/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Dallas-TX","4.9","222","6060 N Central Expy Suite 584, Dallas, TX 75206"
"Masterpiece Roofing & Construction, LLC","(469) 774-2998","","http://www.masterpieceroofingtx.com/","5","31","Sachse, TX 75048"
"Firewheel Roofing","(469) 387-3848","","http://www.firewheelroofing.com/","4.9","136","1409 Shadow Brook Trail, Garland, TX 75043"
"Take Cover Roofing And Construction","(888) 336-3134","","http://takecoverdfw.com/","5","16","10100 N Central Expy #160, Dallas, TX 75231"
"Evergreen Contracting","(214) 597-7124","user@domain.com; info@buildingevergreen.com","https://www.buildingevergreen.com/","5","11","4849 Greenville Ave Suite 126, Dallas, TX 75206"
"Reveles Roofing","(214) 900-8930","","http://www.revelesroofing.com/","5","215","5101 Parry Ave, Dallas, TX 75223"
"Builditect Roofing","(214) 989-4814","","","4.8","63","8330 Lyndon B Johnson Fwy Suite 920, Dallas, TX 75243"
"RainTight General Contracting","(214) 693-6196","","http://www.raintight.net/","4.8","20","9903 Carnegie Dr, Dallas, TX 75228"
"Riddle Brothers Roofing & Construction","(214) 884-8346","info@riddlebrothersroofing.com; info@rbrc.net","https://riddlebrothersroofing.com/","4.9","324","4410 Lakeview Pkwy # C, Rowlett, TX 75088"
"Shalom Roofing LLC","(214) 256-8021","","https://shalomroofing.net/","5","77","501 Via Sevilla, Mesquite, TX 75150"
